customerId,recommendedProducts
4,226|247|230|125|248|294|72|276|165|83
11,226|247|230|125|248|294|72|276|165|83
12,226|247|230|125|248|294|72|276|165|83
16,226|247|230|125|248|294|72|276|165|83
21,226|247|230|125|248|294|72|276|165|83
32,226|247|230|125|248|294|72|276|165|83
121,226|247|230|125|248|294|72|276|165|83
122,226|247|230|125|248|294|72|276|165|83
123,226|247|230|125|248|294|72|276|165|83
137,226|247|230|125|248|294|72|276|165|83
141,226|247|230|125|248|294|72|276|83|213
152,226|247|230|125|248|294|72|276|165|83
164,226|247|230|125|248|294|72|276|165|83
171,226|247|230|125|248|294|72|276|165|83
182,226|247|230|125|248|294|72|276|165|83
212,247|230|125|248|294|72|276|165|83|213
218,226|247|230|125|248|294|72|276|165|83
247,226|247|230|125|248|294|72|276|165|83
250,226|247|230|125|248|294|72|276|165|83
255,226|247|230|125|248|294|72|276|165|83
261,226|247|230|125|248|294|72|276|165|83
263,226|247|230|125|248|294|72|276|165|83
305,226|247|230|125|248|294|276|165|83|74
320,226|247|230|125|248|294|72|276|165|83
321,226|247|230|125|248|294|72|276|165|83
326,226|247|230|125|248|294|72|276|165|83
339,226|247|230|125|248|294|72|276|165|83
368,226|247|230|125|248|294|72|276|165|83
418,226|247|230|125|248|294|72|276|165|83
447,226|247|230|125|248|294|72|276|165|83
450,226|247|230|125|248|294|72|276|165|74
459,226|247|230|248|294|72|276|165|83|213
462,226|247|230|125|248|294|72|276|165|83
482,226|247|230|125|248|294|72|276|165|83
539,226|247|230|125|248|294|72|276|165|83
543,226|247|230|125|248|294|72|276|165|83
548,226|247|230|125|248|294|72|276|165|83
572,226|247|230|125|248|294|72|276|165|83
594,226|247|230|125|248|294|72|276|165|83
595,226|247|230|125|248|294|72|276|165|83
625,226|247|230|125|248|294|72|276|165|83
654,226|247|230|125|248|294|72|276|165|83
659,226|247|230|125|248|294|72|276|165|83
661,226|247|230|125|248|294|72|276|165|83
665,226|247|230|125|248|294|276|165|83|213
667,226|247|230|125|248|294|72|276|165|83
677,226|247|230|125|248|294|72|276|165|83
690,226|247|230|125|248|294|72|276|165|83
706,226|247|230|125|248|294|72|276|165|83
708,226|247|230|125|248|294|72|276|165|83
718,226|247|230|125|248|294|72|276|165|83
731,226|247|230|125|248|294|72|276|165|83
745,226|247|230|125|248|294|72|276|165|83
788,226|247|230|125|248|294|72|276|165|83
806,226|247|230|125|248|294|72|276|165|83
821,226|247|230|125|248|294|72|276|165|83
837,226|247|230|125|248|294|276|165|83|213
858,226|247|230|125|248|294|72|276|165|83
861,226|247|230|125|248|294|72|276|165|83
862,226|247|230|125|248|294|72|276|165|83
863,226|247|230|125|248|294|72|276|165|83
866,226|247|230|125|248|294|72|276|165|83
884,226|247|230|125|248|294|72|276|165|83
946,226|247|230|125|248|294|72|276|165|83
1037,226|247|230|125|248|294|72|276|165|83
1042,226|247|230|125|248|294|72|276|165|83
1043,226|247|230|125|248|294|276|165|83|213
1057,226|247|230|125|248|294|72|276|165|83
1073,226|247|230|125|248|294|72|276|165|83
1085,226|247|230|125|248|294|72|276|165|83
1090,226|247|230|125|248|294|72|276|165|213
1091,226|247|125|248|294|72|276|165|83|213
1093,226|247|230|125|248|294|276|165|83|213
1111,226|247|230|125|248|294|72|276|165|83
1127,247|230|125|248|294|72|276|165|83|213
1130,226|247|230|125|248|294|72|276|165|83
1137,226|247|230|125|248|294|72|276|165|83
1139,226|247|230|125|248|294|72|276|165|83
1143,226|247|230|125|248|294|72|276|165|83
1149,226|247|230|125|248|294|72|276|165|83
1156,226|247|230|125|248|294|72|276|165|83
1175,226|247|230|125|248|294|72|276|165|83
1178,226|247|230|125|248|294|72|276|165|83
1182,226|247|230|125|248|294|72|276|165|83
1223,226|247|230|125|248|294|72|276|165|83
1245,226|247|230|125|248|294|72|276|165|83
1267,226|247|230|125|248|294|72|276|165|83
1270,226|247|230|125|248|294|72|276|165|83
1286,226|247|230|125|248|294|72|276|165|83
1290,226|247|230|125|248|294|72|276|165|213
1342,226|247|230|125|248|294|72|276|165|83
1347,226|247|230|125|248|294|72|276|165|83
1380,226|247|230|125|248|294|72|276|165|83
