,customerId,products
0,1,21
1,2,"3,3,24,69,69,112,30,87,108,153"
2,3,"112,108,30,12,12,12,34,24"
3,4,"165,228"
4,6,"3,3"
5,7,"145,145,56,267"
6,8,"136,207,260"
7,9,"80,9,9,49"
8,10,"103,3,3,298"
9,11,"85,78,291,261"
10,12,"26,128,128"
11,13,"19,184,288,173,290"
12,14,"80,9,9,39"
13,15,"3,3,21,21,21"
14,16,"252,144"
15,17,3
16,18,"50,50,50,280,280,280"
17,19,"71,136"
18,20,"49,9"
19,21,"21,21,21,282,282,282,288,288,288"
20,22,"260,199"
21,23,"30,12,45,196"
22,24,"37,37,62,202"
23,25,"237,237,3"
24,26,"2,21,19,19,19,260,260,3,3,3"
25,29,"12,12,12,30,30,30"
26,30,"3,3,125,252,193,48"
27,31,"298,257"
28,33,160
29,34,"24,12,42,37,24,37,39,265,12,80"
30,35,"116,42,82,206,21"
31,36,"57,63"
32,37,"146,21,21,21"
33,38,"74,41,26"
34,39,"176,103,103"
35,40,"242,242,44"
36,41,"119,119,119,34,157,157,26,3,3,3"
37,42,"42,3,3"
38,43,"230,230,230,71"
39,44,"49,9,9"
40,45,"12,12,12,3,3"
41,46,264
42,47,"173,206,251"
43,49,48
44,50,3
45,52,"45,34"
46,53,"125,125"
47,54,48
48,55,"19,19,103,103,21,13"
49,57,3
50,58,"173,136"
51,59,"232,3,3,3"
52,60,"101,113,22"
53,61,"3,3,185,16"
54,62,18
55,66,"209,10,144,144"
56,67,3
57,68,193
58,69,34
59,71,"21,21"
60,72,"3,3"
61,73,"135,12,24,135,171,24,24,12,171,12"
62,74,"101,113"
63,77,147
64,79,274
65,80,254
66,81,"112,34"
67,82,"136,136"
68,88,"3,112,163,21,187,112,163,112,3,21"
69,90,"200,200,3,173"
70,91,"3,3,144"
71,92,"77,21"
72,94,"52,225,42,42"
73,95,"12,12,16"
74,96,"45,288"
75,97,"3,3,21,21,21,45,45"
76,98,"178,178,178"
77,99,"21,3,3"
78,100,"260,260,98"
79,101,"63,1,1,1,7,68"
80,102,"215,48"
81,103,193
82,104,"37,49"
83,105,3
84,106,"108,30,24,24,12,12"
85,107,71
